"SYMBI-Website","PUBLIC",false,false,false,"main","2025-09-13T11:24:52Z","2025-09-13T11:24:55Z",""
"YCQ-Website","PUBLIC",false,false,false,"main","2025-09-13T10:30:36Z","2025-09-13T10:30:39Z",""
"SYMBI_EVOLUTION","PUBLIC",false,false,false,"main","2025-09-11T10:46:48Z","2025-09-11T10:46:51Z","SYMBI Liberated"
"symbi-trust-protocol","PUBLIC",false,false,false,"main","2025-09-10T18:41:26Z","2025-08-30T07:04:50Z","SYMBI Trust Protocol - A comprehensive trust declaration system with compliance scoring, audit trails, and authentication for AI agents and users"
"SYMBI-SYNERGY","PUBLIC",false,false,false,"main","2025-09-05T14:25:42Z","2025-09-05T14:25:47Z","AI Trust First Platform"
"YCQ-Sonate","PUBLIC",false,false,false,"main","2025-09-05T14:25:29Z","2025-09-05T14:25:32Z",""
"symbi-synergyv0","PRIVATE",true,false,false,"main","2025-09-02T07:28:15Z","2025-09-05T12:59:22Z",""
"v0-trust-protocol","PRIVATE",true,false,false,"main","2025-08-30T09:41:56Z","2025-08-30T09:41:59Z",""
"vercel-ship-25-coding-agent","PUBLIC",false,false,false,"main","2025-08-30T08:47:18Z","2025-08-20T06:35:24Z",""
"skynet","PRIVATE",true,false,false,"main","2025-08-28T04:27:13Z","2025-08-28T04:27:16Z",""
"sky","PUBLIC",false,false,false,"main","2025-08-28T04:10:48Z","2025-08-28T04:10:52Z","Sky project – AI autonomy testbed"
"nextjs-ai-chatbot","PRIVATE",true,false,false,"main","2025-08-27T03:12:17Z","2025-08-27T03:12:21Z",""
"symbi0","PUBLIC",false,false,false,"main","2025-08-10T19:03:58Z","2025-08-10T19:04:02Z",""
"symbi-spoof-site","PUBLIC",false,false,false,"main","2025-07-26T19:35:33Z","2025-07-26T19:35:36Z","fake symbi account reveals crptyo links "
"Symbi-core","PUBLIC",false,false,false,"main","2025-07-23T07:39:50Z","2025-07-23T07:39:55Z",""
"symbi-zero","PRIVATE",true,false,false,"main","2025-07-22T12:46:29Z","2025-07-22T12:46:33Z",""
"symbi","PRIVATE",true,false,false,"main","2025-07-22T11:32:09Z","2025-07-22T09:02:36Z",""
"nextjs-boilerplate","PRIVATE",true,false,false,"main","2025-07-22T10:11:02Z","2025-07-22T10:11:18Z",""
"memory-node","PRIVATE",true,true,false,"main","2025-07-16T10:15:55Z","2025-07-18T17:04:27Z",""
"markitdown","PUBLIC",false,false,true,"main","2025-06-04T04:09:25Z","2025-07-16T08:25:51Z","Python tool for converting files and office documents to Markdown."
"my-mate","PUBLIC",false,false,false,"main","2025-03-10T20:53:07Z","2025-03-10T21:01:07Z","only for you and me "
